Longitude,Latitude,Whole Foods Store,Address,City,States & Territory,Zip Code
-75.225019,40.209971,Whole Foods,1210 Bethlehem Pike,North Wales,Pennsylvania,19453
-75.1717119,39.9609158,Whole Foods,2001 Pennsylvania Avenue,Philadelphia,Pennsylvania,19129
-75.1741259,39.9627391,Whole Foods,2101 Pennsylvania Avenue,Philadelphia,Pennsylvania,19129
-75.157937,39.942755,Whole Foods,929 South Street,Philadelphia,Pennsylvania,19146
-79.928449,40.458822,Whole Foods,5880 Centre Ave,Pittsburgh,Pennsylvania,15205
-75.283734,40.115334,Whole Foods,500 W Germantown Pike,Plymouth Meeting,Pennsylvania,19461
-80.0728378,40.3349915,Whole Foods,111 Siena Drive,Upper St. Clair,Pennsylvania,15240
-75.412414,40.048174,Whole Foods,821 W Lancaster Ave,Wayne,Pennsylvania,19086
-80.053394,40.613616,Whole Foods,10576 Perry Highway,Wexford,Pennsylvania,15089
-75.2752753,40.0017082,Whole Foods,15 East Wynnewood Rd,Wynnewood,Pennsylvania,19095
-71.457116,41.755672,Whole Foods,151 Sockanosset Cross Road,Cranston,Rhode Island,2919
-71.386034,41.828065,Whole Foods,261 Waterman St,Providence,Rhode Island,2905
-71.409309,41.83717,Whole Foods,601 N Main St,Providence,Rhode Island,2903
-80.975499,33.992745,Whole Foods,702 Cross Hill Rd + Fort Jackson Blvd,Columbia,South Carolina,29204
-82.300923,34.825852,Whole Foods,1140 Woodruff Road,Greenville,South Carolina,29606
-80.717475,32.186515,Whole Foods,50 Shelter Cove Lane,Hilton Head Island,South Carolina,29927
-79.889796,32.802079,Whole Foods,923 Houston Northcutt Blvd,Mount Pleasant,South Carolina,29463
-85.314224,35.06263,Whole Foods,301 Manufacturers Rd,Chattanooga,Tennesse,37404
-89.894596,35.93483,Whole Foods,1566 West McEwen Drive,Franklin,Tennesse,37066
-89.8348312,35.0977287,Whole Foods,7825 US Highway 72,Germantown,Tennesse,38137
-84.0154633,35.9342562,Whole Foods,6730 Papermill Drive,Knoxville,Tennesse,37918
-89.8943329,35.1135788,Whole Foods,5014 Poplar Avenue,Memphis,Tennesse,38116
-86.825271,36.103429,Whole Foods,4021 Hillsboro Pike,Nashville,Tennesse,37214
-97.754274,32.953287,Whole Foods,5100 Belt Line Road,Addison,Texas,75253
-96.752078,32.765687,Whole Foods,801 East Lamar Blvd,Arlington,Texas,76010
-97.937587,30.406211,Whole Foods,11920 Domain Drive,Austin,Texas,78757
-96.795189,30.221646,Whole Foods,4301 W William Cannon,Austin,Texas,78748
-95.623349,30.270607,Whole Foods,525 N Lamar Blvd,Austin,Texas,78702
-95.398112,30.387993,Whole Foods,9607 Research Blvd,Austin,Texas,78758
-95.497099,30.307817,Whole Foods,12601 Hill Country Blvd,Bee Cave,Texas,78737
-97.155632,32.8792419,Whole Foods,4801 Colleyville Blvd,Colleyville,Texas,76033
-95.441234,32.907737,Whole Foods,11700 Preston Rd,Dallas,Texas,75229
-97.840656,32.815725,Whole Foods,2118 Abrams Road,Dallas,Texas,75213
-96.8019808,32.795383,Whole Foods,2510 McKinney Ave,Dallas,Texas,75200
-96.81539,32.87187,Whole Foods,8190 Park Lane,Dallas,Texas,75230
-106.5485269,31.8350905,Whole Foods,100 Pitt Street,El Paso,Texas,79911
-97.743227,33.131104,Whole Foods,105 Stacy Road,Fairview,Texas,75068
-97.3838959,32.7006721,Whole Foods,3720 Vision Drive,Fort Worth,Texas,76108
-98.510924,32.820519,Whole Foods,4100 Lomo Alto Dr,Highland Park,Texas,75218
-97.0846159,33.0731197,Whole Foods,4041 Waller Creek,Highland Village,Texas,75076
-95.5622253,29.9990196,Whole Foods,10133 Louetta Road,Houston,Texas,77069
-95.5708563,29.7366348,Whole Foods,11041 Westheimer Rd,Houston,Texas,77041
-95.5002747,29.752388,Whole Foods,1407 South Voss Rd,Houston,Texas,77056
-95.4614141,29.7501571,Whole Foods,1700 Post Oak Blvd,Houston,Texas,77055
-98.479774,29.739032,Whole Foods,2955 Kirby Dr,Houston,Texas,77097
-96.650924,29.706182,Whole Foods,4004 Bellaire Blvd,Houston,Texas,77024
-97.099182,29.759548,Whole Foods,701 Waugh Drive,Houston,Texas,77018
-95.573018,29.712956,Whole Foods,6601 S Fry Road,Katy,Texas,77493
-96.765899,33.029391,Whole Foods,2201 Preston Road,Plano,Texas,75092
-96.6989156,32.9973547,Whole Foods,1411 E Renner Road,Richardson,Texas,75081
-95.770708,29.613418,Whole Foods,18403 Blanco Road,San Antonio,Texas,78257
-96.821136,29.493716,Whole Foods,255 E. Basse Rd,San Antonio,Texas,78208
-97.720267,29.59822,Whole Foods,15900 Southwest Freeway,Sugar Land,Texas,77477
-95.4557724,30.1575203,Whole Foods,1925 Hughes Landing Blvd,The Woodlands,Texas,77379
-111.834237,40.625918,Whole Foods,6930 S Highland Drive,Cottonwood Heights,Utah,84120
-111.889984,40.543312,Whole Foods,11479 S State Street,Draper,Utah,84019
-111.543122,40.72094,Whole Foods,1748 W Redstone Center Dr,Park City,Utah,84097
-111.858348,40.723448,Whole Foods,1131 E Wilmington Ave,Salt Lake City,Utah,84105
-111.87114,40.757494,Whole Foods,544 South 700 East,Salt Lake City,Utah,84101
-77.059624,38.804246,Whole Foods,1700 Duke St,Alexandria,Virgina,22313
-77.090769,38.889522,Whole Foods,2700 Wilson Blvd,Arlington,Virgina,22200
-77.0548654,38.8628872,Whole Foods,520 12th St South,Arlington,Virgina,22201
-77.4795685,39.0415306,Whole Foods,19800 Belmont Chase Drive,Ashburn,Virgina,20146
-78.490366,38.059962,Whole Foods,1797 Hydraulic Road,Charlottesville,Virgina,22900
-77.376652,38.858435,Whole Foods,4501 Market Commons Dr,Fairfax,Virgina,22032
-77.204086,38.903038,Whole Foods,7511 Leesburg Pike,Falls Church,Virgina,22042
-77.600104,37.648609,Whole Foods,11173 West Broad Street,Glen Allen,Virgina,23059
-76.489654,37.102607,Whole Foods,12080 Jefferson Ave,Newport News,Virgina,23605
-77.349078,38.95163,Whole Foods,11660 Plaza America Dr,Reston,Virgina,20189
-77.233997,38.779264,Whole Foods,8402 Old Keene Mill Rd,Springfield,Virgina,22151
-77.263674,38.902595,Whole Foods,143 Maple Ave East,Vienna,Virgina,22179
-76.028025,36.850142,Whole Foods,1800 Laskin Road,Virginia Beach,Virgina,23453
-122.2042704,47.6139247,Whole Foods,10200 Nebraska 4th St,Bellevue,Washington,98003
-122.185534,47.618072,Whole Foods,888 116th Ave Nebraska,Bellevue,Washington,98003
-122.4616776,48.7438354,Whole Foods,1030 Lakeway Drive,Bellingham,Washington,98228
-122.2726669,47.8198967,Whole Foods,2800 196th St SW,Lynnwood,Washington,98035
-122.100869,47.666515,Whole Foods,17991 Nebraska Redmond Way,Redmond,Washington,98051
-122.317015,47.675107,Whole Foods,1026 Nebraska 64th Street,Seattle,Washington,98114
-122.37713,47.637174,Whole Foods,2001 15th Avenue W,Seattle,Washington,98118
-122.536232,47.2273903,Whole Foods,3515 Bridgeport Way West,University Place,Washington,98465
-122.507387,45.615538,Whole Foods,815 Southeast 160th Avenue,Vancouver,Washington,98682
-89.443819,43.0751,Whole Foods,3313 University Ave,Madison,Wisconsin,53704
-87.883706,43.060374,Whole Foods,2305 N Prospect Ave,Milwaukee,Wisconsin,53210
-88.0517225,43.0748096,Whole Foods,11100 W Burleigh Street,Wauwatosa,Wisconsin,53221
